year,comuna_datachile_id,sex_id,age_range_id,count
2005,12,2,1,7467
2005,12,1,1,7245
2005,25,2,1,44
2005,25,1,1,43
2005,243,2,1,33
2005,243,1,1,31
2005,99,2,1,36
2005,99,1,1,36
2005,113,2,1,6859
2005,113,1,1,7010
2005,26,2,1,74
2005,26,1,1,70
2005,58,2,1,68
2005,58,1,1,65
2005,108,2,1,161
2005,108,1,1,156
2005,217,2,1,187
2005,217,1,1,170
2005,226,2,1,581
2005,226,1,1,573
2005,5,2,1,4302
2005,5,1,1,3730
2005,9,2,1,14262
2005,9,1,1,13770
2005,170,2,1,426
2005,170,1,1,405
2005,309,2,1,75
2005,309,1,1,78
2005,313,2,1,477
2005,313,1,1,446
2005,19,2,1,6765
2005,19,1,1,6536
2005,189,2,1,13
2005,189,1,1,12
2005,297,2,1,260
2005,297,1,1,247
2005,321,2,1,937
2005,321,1,1,906
2005,165,2,1,236
2005,165,1,1,224
2005,68,2,1,6282
2005,68,1,1,6079
2005,21,2,1,615
2005,21,1,1,592
2005,317,2,1,623
2005,317,1,1,605
2005,39,2,1,593
2005,39,1,1,573
2005,81,2,1,610
2005,81,1,1,589
2005,330,2,1,1934
2005,330,1,1,1851
2005,4,2,1,189
2005,4,1,1,183
2005,93,2,1,237
2005,93,1,1,229
2005,109,2,1,310
2005,109,1,1,295
2005,126,2,1,7253
2005,126,1,1,6990
2005,69,2,1,7460
2005,69,1,1,7154
2005,7,2,1,363
2005,7,1,1,348
2005,122,2,1,171
2005,122,1,1,165
2005,195,2,1,169
2005,195,1,1,167
2005,334,2,1,1106
2005,334,1,1,1042
2005,111,2,1,1181
2005,111,1,1,1132
2005,27,2,1,333
2005,27,1,1,318
2005,156,2,1,701
2005,156,1,1,678
2005,278,2,1,932
2005,278,1,1,907
2005,192,2,1,4249
2005,192,1,1,4110
2005,62,2,1,431
2005,62,1,1,411
2005,174,2,1,1408
2005,174,1,1,1361
2005,237,2,1,434
2005,237,1,1,408
2005,271,2,1,162
2005,271,1,1,154
2005,331,2,1,9243
2005,331,1,1,8925
2005,31,2,1,1107
2005,31,1,1,1076
2005,116,2,1,22
2005,116,1,1,20
2005,115,2,1,206
2005,115,1,1,196
2005,279,2,1,3532
2005,279,1,1,3397
2005,1,2,1,419
2005,1,1,1,405
2005,30,2,1,769
2005,30,1,1,734
2005,86,2,1,430
2005,86,1,1,406
2005,87,2,1,275
2005,87,1,1,272
2005,308,2,1,317
2005,308,1,1,299
2005,339,2,1,9528
2005,339,1,1,9188
2005,63,2,1,1745
2005,63,1,1,1685
2005,229,2,1,523
2005,229,1,1,510
2005,253,2,1,4859
2005,253,1,1,4672
2005,257,2,1,934
2005,257,1,1,893
2005,337,2,1,4048
2005,337,1,1,3848
2005,123,2,1,1344
2005,123,1,1,1298
2005,16,2,1,871
2005,16,1,1,839
2005,202,2,1,208
2005,202,1,1,195
2005,215,2,1,357
2005,215,1,1,347
2005,344,2,1,224
2005,344,1,1,216
2005,252,2,1,2945
2005,252,1,1,2844
2005,22,2,1,2144
2005,22,1,1,2076
2005,103,2,1,753
2005,103,1,1,729
2005,118,2,1,550
2005,118,1,1,536
2005,138,2,1,1635
2005,138,1,1,1557
2005,183,2,1,1059
2005,183,1,1,1027
2005,190,2,1,579
2005,190,1,1,556
2005,285,2,1,2885
2005,285,1,1,2790
2005,151,2,1,2620
2005,151,1,1,2510
2005,24,2,1,407
2005,24,1,1,382
2005,268,2,1,279
2005,268,1,1,271
2005,283,2,1,617
2005,283,1,1,582
2005,33,2,1,526
2005,33,1,1,501
2005,142,2,1,909
2005,142,1,1,867
2005,201,2,1,292
2005,201,1,1,282
2005,242,2,1,610
2005,242,1,1,594
2005,306,2,1,561
2005,306,1,1,528
2005,65,2,1,4415
2005,65,1,1,4242
2005,110,2,1,3874
2005,110,1,1,3751
2005,112,2,1,1817
2005,112,1,1,1759
2005,249,2,1,8614
2005,249,1,1,8315
2005,262,2,1,5123
2005,262,1,1,4928
2005,59,2,1,4545
2005,59,1,1,4381
2005,346,2,1,2660
2005,346,1,1,2504
2005,318,2,1,735
2005,318,1,1,710
2005,36,2,1,6368
2005,36,1,1,6178
2005,145,2,1,3895
2005,145,1,1,3746
2005,231,2,1,9696
2005,231,1,1,9269
2005,256,2,1,3355
2005,256,1,1,3241
2005,264,2,1,5776
2005,264,1,1,5594
2005,172,2,1,4329
2005,172,1,1,4204
2005,2,2,1,172
2005,2,1,1,165
2005,74,2,1,1120
2005,74,1,1,1087
2005,166,2,1,457
2005,166,1,1,438
2005,296,2,1,337
2005,296,1,1,320
2005,310,2,1,3052
2005,310,1,1,2941
2005,85,2,1,1317
2005,85,1,1,1271
2005,114,2,1,1232
2005,114,1,1,1183
2005,193,2,1,2013
2005,193,1,1,1906
2005,211,2,1,3386
2005,211,1,1,3267
2005,307,2,1,5479
2005,307,1,1,5254
2005,35,2,1,2763
2005,35,1,1,2667
2005,90,2,1,4209
2005,90,1,1,4050
2005,162,2,1,25437
2005,162,1,1,24566
2005,125,2,1,3193
2005,125,1,1,3093
2005,134,2,1,8637
2005,134,1,1,8290
2005,143,2,1,3793
2005,143,1,1,3655
2005,160,2,1,3495
2005,160,1,1,3376
2005,186,2,1,4258
2005,186,1,1,4113
2005,212,2,1,9971
2005,212,1,1,9586
2005,228,2,1,3452
2005,228,1,1,3380
2005,340,2,1,2666
2005,340,1,1,2587
2005,83,2,1,6880
2005,83,1,1,6634
2005,117,2,1,2649
2005,117,1,1,2516
2005,144,2,1,4340
2005,144,1,1,4153
2005,205,2,1,3478
2005,205,1,1,3352
2005,290,2,1,2873
2005,290,1,1,2781
2005,293,2,1,2406
2005,293,1,1,2331
2005,280,2,1,12831
2005,280,1,1,12311
2005,14,2,1,2975
2005,14,1,1,2869
2005,23,2,1,892
2005,23,1,1,866
2005,197,2,1,2637
2005,197,1,1,2549
2005,120,2,1,13755
2005,120,1,1,13236
2005,121,2,1,5061
2005,121,1,1,4906
2005,124,2,1,9129
2005,124,1,1,8786
2005,300,2,1,3929
2005,300,1,1,3775
2005,232,2,1,25918
2005,232,1,1,25020
2005,221,2,1,844
2005,221,1,1,826
2005,291,2,1,497
2005,291,1,1,470
2005,259,2,1,8667
2005,259,1,1,8351
2005,52,2,1,459
2005,52,1,1,454
2005,56,2,1,241
2005,56,1,1,236
2005,61,2,1,617
2005,61,1,1,593
2005,82,2,1,730
2005,82,1,1,697
2005,101,2,1,1091
2005,101,1,1,1060
2005,133,2,1,810
2005,133,1,1,777
2005,159,2,1,1333
2005,159,1,1,1298
2005,163,2,1,495
2005,163,1,1,488
2005,175,2,1,989
2005,175,1,1,948
2005,188,2,1,579
2005,188,1,1,570
2005,216,2,1,543
